Trade No,Cumulative PnL INR,Peak,Drawdown INR,Drawdown %
496,207258.0,210439.5,-3181.5,-1.5118359433471378
497,205098.0,210439.5,-5341.5,-2.5382592146436385
498,203932.5,210439.5,-6507.0,-3.092100104780709
499,210321.0,210439.5,-118.5,-0.056310721133627485
500,207517.5,210439.5,-2922.0,-1.3885225920038775
501,202675.5,210439.5,-7764.0,-3.6894214251602007
502,207690.0,210439.5,-2749.5,-1.3065512890878377
503,206379.0,210439.5,-4060.5,-1.9295331912497418
504,205080.0,210439.5,-5359.5,-2.546812741904443
505,201150.0,210439.5,-9289.5,-4.414332860513355
506,199816.5,210439.5,-10623.0,-5.0480066717512635
507,200049.0,210439.5,-10390.5,-4.93752361129921
508,194788.5,210439.5,-15651.0,-7.437291953269229
509,195150.0,210439.5,-15289.5,-7.265508614114746
510,190384.5,210439.5,-20055.0,-9.53005495641265
511,187738.5,210439.5,-22701.0,-10.787423463750864
512,181515.0,210439.5,-28924.5,-13.744805514173908
513,180187.5,210439.5,-30252.0,-14.375628149658215
514,189381.0,210439.5,-21058.5,-10.006914101202485
515,196401.0,210439.5,-14038.5,-6.671038469488856
516,193866.0,210439.5,-16573.5,-7.8756602253854435
517,189013.5,210439.5,-21426.0,-10.181548616110568
518,193834.5,210439.5,-16605.0,-7.89062889809185
519,191229.0,210439.5,-19210.5,-9.128751969093255
520,191803.5,210439.5,-18636.0,-8.855751890685921
521,187747.5,210439.5,-22692.0,-10.783146700120462
522,194556.0,210439.5,-15883.5,-7.547775013721283
523,192646.5,210439.5,-17793.0,-8.455161697304927
524,188569.5,210439.5,-21870.0,-10.392535621877071
