Trade No,Cumulative PnL INR
802,335662.5
803,340891.5
804,333091.5
805,345508.5
806,342418.5
807,340041.0
808,340356.0
809,350109.0
810,359049.0
811,357799.5
812,355581.0
813,352968.0
814,352171.5
815,349705.5
816,348838.5
817,345373.5
818,345873.0
819,350356.5
820,364891.5
821,359724.0
822,350668.5
823,344361.0
824,341892.0
825,350635.5
826,348475.5
827,354535.5
828,356533.5
829,334641.0
830,335541.0
831,334143.0
832,330954.0
833,326487.0
834,340960.5
835,340057.5
836,341727.0
837,339447.0
838,333973.5
839,336100.5
840,331408.5
841,329365.5
842,326059.5
843,323164.5
844,326002.5
845,320664.0
846,316776.0
847,318208.5
848,313165.5
849,311025.0
850,308112.0
851,304999.5
852,319321.5
853,319597.5
854,319530.0
855,318709.5
856,316273.5
857,315754.5
858,314592.0
859,311959.5
860,313990.5
861,338164.5
862,337710.0
863,337855.5
864,347086.5
865,344745.0
866,339756.0
867,340213.5
868,337731.0
869,340675.5
870,335626.5
871,319471.5
872,322647.0
873,316162.5
874,312895.5
875,312702.0
876,310932.0
877,309136.5
878,307764.0
879,310135.5
880,307636.5
881,309354.0
882,308499.0
883,306738.0
884,314428.5
885,312973.5
886,310896.0
887,311092.5
888,308608.5
889,305713.5
890,306376.5
891,305049.0
892,313117.5
893,310438.5
894,326650.5
895,325176.0
896,343648.5
897,339448.5
898,334947.0
899,333225.0
900,338223.0
901,344314.5
902,346878.0
903,342480.0
904,332917.5
905,387141.0
906,396160.5
907,391644.0
908,392673.0
909,402360.0
910,402519.0
911,402094.5
912,397360.5
913,396943.5
914,398593.5
915,396405.0
916,389320.5
917,399255.0
918,398362.5
919,398971.5
920,394726.5
921,390153.0
922,408586.5
923,423577.5
924,423094.5
925,429064.5
926,428680.5
927,445380.0
928,439240.5
929,434110.5
930,436069.5
931,431352.0
932,440665.5
933,444943.5
934,450463.5
935,463509.0
936,462223.5
937,464986.5
938,461335.5
939,472983.0
940,489363.0
941,484515.0
942,479100.0
943,479115.0
944,485776.5
945,487599.0
946,507451.5
947,506967.0
948,503386.5
949,498679.5
950,503521.5
951,505260.0
952,505602.0
953,503140.5
954,501244.5
955,511200.0
956,508081.5
957,502125.0
958,499119.0
959,494610.0
960,490626.0
961,487522.5
962,484696.5
963,484629.0
964,481603.5
965,479563.5
966,496641.0
967,493569.0
968,492472.5
969,491353.5
970,502633.5
971,498562.5
972,498310.5
973,494548.5
974,499345.5
975,496864.5
976,503397.0
977,514741.5
978,511426.5
979,518260.5
980,514312.5
981,515568.0
982,513264.0
983,509004.0
984,506461.5
985,506709.0
986,506712.0
987,501745.5
988,520915.5
989,530991.0
990,529848.0
991,525850.5
992,537210.0
993,532770.0
994,525888.0
995,536515.5
996,534898.5
997,530331.0
998,537270.0
999,543864.0
1000,548680.5
1001,547342.5
1002,544449.0
1003,541338.0
1004,542187.0
1005,543207.0
1006,540057.0
1007,544810.5
1008,549721.5
1009,547720.5
1010,546823.5
1011,548023.5
1012,551556.0
1013,550260.0
1014,547146.0
1015,549958.5
1016,545875.5
1017,544804.5
1018,544149.0
1019,547968.0
1020,546861.0
1021,544206.0
1022,550806.0
1023,547836.0
1024,545118.0
1025,540642.0
1026,546799.5
1027,541305.0
1028,541432.5
1029,548934.0
1030,555574.5
1031,555451.5
1032,550590.0
1033,549022.5
1034,550474.5
1035,547824.0
1036,554053.5
1037,549529.5
1038,559380.0
1039,558738.0
1040,555244.5
1041,559143.0
1042,569854.5
1043,565333.5
1044,565605.0
1045,563830.5
1046,567574.5
1047,564984.0
1048,561124.5
1049,569278.5
1050,565828.5
1051,559867.5
1052,555789.0
1053,550705.5
1054,557676.0
1055,557191.5
1056,554212.5
1057,556153.5
1058,552313.5
1059,547582.5
1060,549219.0
1061,546432.0
1062,544264.5
1063,546715.5
1064,543046.5
1065,540103.5
1066,536275.5
1067,555904.5
