Type,Entry Time,Exit Time,Entry Price,Exit Price,Points,PnL INR,Cumulative PnL INR
SHORT,2021-06-11 12:10:00+05:30,2021-06-14 12:50:00+05:30,15755.15,15742.65,12.5,812.5,1170663.0
LONG,2021-06-14 12:50:00+05:30,2021-06-15 15:25:00+05:30,15742.65,15859.2,116.55,7575.75,1178238.75
SHORT,2021-06-15 15:25:00+05:30,2021-06-16 14:05:00+05:30,15859.2,15814.6,44.6,2899.0,1181137.75
LONG,2021-06-16 14:05:00+05:30,2021-06-16 15:10:00+05:30,15814.6,15769.25,-45.35,-2947.75,1178190.0
SHORT,2021-06-16 15:10:00+05:30,2021-06-18 09:15:00+05:30,15769.25,15734.2,35.05,2278.25,1180468.25
LONG,2021-06-18 09:15:00+05:30,2021-06-18 09:45:00+05:30,15734.2,15648.85,-85.35,-5547.75,1174920.5
SHORT,2021-06-18 09:45:00+05:30,2021-06-18 13:55:00+05:30,15648.85,15627.9,20.95,1361.75,1176282.25
LONG,2021-06-18 13:55:00+05:30,2021-06-21 09:15:00+05:30,15627.9,15541.55,-86.35,-5612.75,1170669.5
SHORT,2021-06-21 09:15:00+05:30,2021-06-21 13:05:00+05:30,15541.55,15673.05,-131.5,-8547.5,1162122.0
LONG,2021-06-21 13:05:00+05:30,2021-06-22 13:20:00+05:30,15673.05,15829.55,156.5,10172.5,1172294.5
SHORT,2021-06-22 13:20:00+05:30,2021-06-24 09:35:00+05:30,15829.55,15759.45,70.1,4556.5,1176851.0
LONG,2021-06-24 09:35:00+05:30,2021-06-28 11:10:00+05:30,15759.45,15826.0,66.55,4325.75,1181176.75
SHORT,2021-06-28 11:10:00+05:30,2021-06-30 09:15:00+05:30,15826.0,15804.6,21.4,1391.0,1182567.75
LONG,2021-06-30 09:15:00+05:30,2021-06-30 13:40:00+05:30,15804.6,15782.7,-21.9,-1423.5,1181144.25
SHORT,2021-06-30 13:40:00+05:30,2021-07-02 12:45:00+05:30,15782.7,15694.6,88.1,5726.5,1186870.75
LONG,2021-07-02 12:45:00+05:30,2021-07-06 14:15:00+05:30,15694.6,15873.55,178.95,11631.75,1198502.5
SHORT,2021-07-06 14:15:00+05:30,2021-07-07 14:10:00+05:30,15873.55,15854.5,19.05,1238.25,1199740.75
LONG,2021-07-07 14:10:00+05:30,2021-07-08 10:15:00+05:30,15854.5,15839.25,-15.25,-991.25,1198749.5
SHORT,2021-07-08 10:15:00+05:30,2021-07-12 09:15:00+05:30,15839.25,15760.8,78.45,5099.25,1203848.75
LONG,2021-07-12 09:15:00+05:30,2021-07-12 13:10:00+05:30,15760.8,15702.35,-58.45,-3799.25,1200049.5
SHORT,2021-07-12 13:10:00+05:30,2021-07-13 09:15:00+05:30,15702.35,15756.8,-54.45,-3539.25,1196510.25
LONG,2021-07-13 09:15:00+05:30,2021-07-14 09:30:00+05:30,15756.8,15776.0,19.2,1248.0,1197758.25
SHORT,2021-07-14 09:30:00+05:30,2021-07-14 10:45:00+05:30,15776.0,15823.9,-47.9,-3113.5,1194644.75
LONG,2021-07-14 10:45:00+05:30,2021-07-16 10:20:00+05:30,15823.9,15913.75,89.85,5840.25,1200485.0
SHORT,2021-07-16 10:20:00+05:30,2021-07-16 14:35:00+05:30,15913.75,15931.3,-17.55,-1140.75,1199344.25
LONG,2021-07-16 14:35:00+05:30,2021-07-19 09:15:00+05:30,15931.3,15791.2,-140.1,-9106.5,1190237.75
SHORT,2021-07-19 09:15:00+05:30,2021-07-20 12:40:00+05:30,15791.2,15638.25,152.95,9941.75,1200179.5
LONG,2021-07-20 12:40:00+05:30,2021-07-22 14:15:00+05:30,15638.25,15787.55,149.3,9704.5,1209884.0
SHORT,2021-07-22 14:15:00+05:30,2021-07-22 15:05:00+05:30,15787.55,15822.15,-34.6,-2249.0,1207635.0
LONG,2021-07-22 15:05:00+05:30,2021-07-23 09:30:00+05:30,15822.15,15782.7,-39.45,-2564.25,1205070.75
SHORT,2021-07-23 09:30:00+05:30,2021-07-23 13:05:00+05:30,15782.7,15874.35,-91.65,-5957.25,1199113.5
LONG,2021-07-23 13:05:00+05:30,2021-07-23 15:20:00+05:30,15874.35,15846.9,-27.45,-1784.25,1197329.25
SHORT,2021-07-23 15:20:00+05:30,2021-07-26 10:30:00+05:30,15846.9,15884.45,-37.55,-2440.75,1194888.5
LONG,2021-07-26 10:30:00+05:30,2021-07-26 14:40:00+05:30,15884.45,15832.35,-52.1,-3386.5,1191502.0
SHORT,2021-07-26 14:40:00+05:30,2021-07-27 09:15:00+05:30,15832.35,15871.25,-38.9,-2528.5,1188973.5
LONG,2021-07-27 09:15:00+05:30,2021-07-27 11:25:00+05:30,15871.25,15834.1,-37.15,-2414.75,1186558.75
SHORT,2021-07-27 11:25:00+05:30,2021-07-28 12:10:00+05:30,15834.1,15632.25,201.85,13120.25,1199679.0
