Exit Time,Cumulative PnL INR
2022-01-27 09:15:00+05:30,1264484.0
2022-01-27 13:05:00+05:30,1265026.75
2022-01-28 13:40:00+05:30,1284874.5
2022-01-31 09:15:00+05:30,1282528.0
2022-01-31 15:20:00+05:30,1282602.75
2022-02-01 09:15:00+05:30,1270646.0
2022-02-01 13:00:00+05:30,1266573.75
2022-02-02 09:15:00+05:30,1248776.75
2022-02-03 09:30:00+05:30,1250210.0
2022-02-04 09:50:00+05:30,1257678.5
2022-02-04 12:55:00+05:30,1248929.5
2022-02-08 09:15:00+05:30,1262082.25
2022-02-08 10:25:00+05:30,1253203.25
2022-02-08 12:00:00+05:30,1249358.5
2022-02-08 13:05:00+05:30,1245406.5
2022-02-08 15:00:00+05:30,1236677.0
2022-02-10 09:55:00+05:30,1246947.0
2022-02-10 10:30:00+05:30,1238786.25
2022-02-11 09:15:00+05:30,1230784.75
2022-02-11 12:40:00+05:30,1233063.0
2022-02-11 14:05:00+05:30,1230908.25
2022-02-15 09:15:00+05:30,1255959.25
2022-02-16 10:55:00+05:30,1275716.0
2022-02-16 12:30:00+05:30,1268429.5
2022-02-16 14:40:00+05:30,1266700.5
2022-02-17 12:30:00+05:30,1264276.0
2022-02-17 14:10:00+05:30,1259095.5
2022-02-18 12:40:00+05:30,1257048.0
2022-02-18 14:15:00+05:30,1251835.0
2022-02-21 11:10:00+05:30,1255426.25
2022-02-21 14:05:00+05:30,1256911.5
2022-02-22 14:00:00+05:30,1271520.25
2022-02-23 14:25:00+05:30,1278056.0
2022-02-25 09:15:00+05:30,1314576.25
2022-02-25 12:35:00+05:30,1317260.75
2022-02-28 11:00:00+05:30,1317559.75
2022-03-02 09:15:00+05:30,1318424.25
2022-03-02 15:00:00+05:30,1320663.5
2022-03-03 12:20:00+05:30,1320520.5
2022-03-04 12:30:00+05:30,1339191.75
2022-03-04 14:35:00+05:30,1340062.75
2022-03-07 11:55:00+05:30,1363843.0
2022-03-07 13:25:00+05:30,1356901.0
2022-03-07 15:15:00+05:30,1352507.0
2022-03-08 11:15:00+05:30,1343215.25
